UCA,Slot,Flags,jsrc,ksrc,unit,mode,lsrc,vari,vao,vaspace,atop,dir,width,sr1ri,sr2ri,sr1wi,sr2wi,sr1wsrc,sr2wsrc,special,seqop,statop,gprw,irw,drw,tiw,allowint,power,next
0170,0x017,*,.sr1,.vao,.shift,7,.shift,.one,12,.raw,.none,.read,.32b,.temp_1,.zero,.temp_1,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x016
0180,0x018,*,.sr1,.vao,.alu,5,.alu,.one,.one,.raw,.none,.read,.32b,.temp_1,.zero,.temp_1,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x017
0190,0x019,*,.sr1,.vao,.shift,7,.shift,.one,9,.raw,.none,.read,.32b,.temp_1,.zero,.temp_1,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x018
01A0,0x01A,*,.zero,.vao,.alu,3,.alu,.one,24,.raw,.none,.read,.32b,.one,.zero,.temp_1,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x019
01B0,0x01B,0,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01B1,0x01B,1,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01B2,0x01B,2,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01B3,0x01B,3,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01B4,0x01B,4,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01B5,0x01B,5,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01B6,0x01B,6,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01B7,0x01B,7,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01B8,0x01B,8,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01B9,0x01B,9,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01BA,0x01B,A,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01BB,0x01B,B,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01BC,0x01B,C,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01BD,0x01B,D,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01BE,0x01B,E,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x00D
01BF,0x01B,F,.zero,.vao,.alu,3,.alu,.one,.one,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x01A
01C0,0x01C,*,.zero,.zero,.alu,0,.alu,.one,.zero,.raw,.none,.read,.32b,.one,.zero,.one,.zero,.no_write,.l,.none,.next_uop,.clear_a,,,,,,,0x01B
01D0,0x01D,*,.sr1,.vao,.alu,6,.alu,.one,.three,.raw,.none,.read,.32b,.temp_1,.zero,.temp_1,.zero,.l,.no_write,.load_rsn_from_l,.next_uop,.compute,,,,,,,0x01C
